filename,n_keypoints,avg_brightness,brightness_rms,avg_perc_brightness,perc_brightness_rms,contrast,edge_length1,edge_length2,edge_length3,edge_length4,edge_length5,edge_length6,edge_length7,edge_angle1,edge_angle2,edge_angle3,edge_angle4,edge_angle5,edge_angle6,edge_angle7,area_by_perim,aspect_ratio,hue1,hue2,hue3,hue4,hue5,hue6,hue7
ILSVRC2012_val_00008661.JPEG,460,151.90153301886792,159.32355481197538,153.4548379599057,160.73585644661105,48.06162070136946,9.0,11.0,6.0,5.0,1.0,1.0,3.0,626,691,577,557,616,737,527,72.22641509433963,1.2075471698113207,30647,14550,5010,16631,12082,2155,3725
ILSVRC2012_val_00019211.JPEG,500,102.53616066481995,118.6664444866004,86.5041138060942,102.18779536166699,59.73324705061365,201.0,76.0,19.0,4.0,2.0,0.0,2.0,8413,8671,7931,8309,8144,8810,7900,104.0351834286314,1.3850415512465375,163059,6366,1778,537,1722,995,6043
ILSVRC2012_val_00035713.JPEG,388,136.69664589235128,153.02501393405726,135.90475797733714,152.73717234751336,68.77995268462706,2.0,4.0,2.0,1.0,1.0,0.0,1.0,1127,541,290,266,310,770,270,85.52477009856526,0.706,32133,61111,15743,39066,15629,4592,8226
ILSVRC2012_val_00043508.JPEG,500,117.92329275362319,148.52349203730876,114.52138910144922,145.5578890670807,90.29576243157705,52.0,8.0,2.0,0.0,1.0,0.0,3.0,5305,3719,3359,3761,3359,3588,3037,101.81257413997628,1.4492753623188406,106430,58284,3516,1258,1704,531,777
ILSVRC2012_val_00043232.JPEG,500,175.4236072234763,189.155940027945,173.69974909706548,187.65706817452565,70.75682070697529,92.0,33.0,8.0,1.0,3.0,1.0,1.0,6092,6655,5652,6623,5747,6509,5231,117.19341126461211,0.886,110656,29095,16404,4868,29689,8841,21947
ILSVRC2012_val_00012051.JPEG,444,149.6314865671642,162.70642442526272,140.05191128955224,154.5674783734362,63.90460685235687,25.0,3.0,1.0,1.0,1.0,0.0,1.0,4653,4108,4039,5101,4087,4064,3594,100.03961584633853,1.492537313432836,58562,49148,117,202,36689,8403,14379
ILSVRC2012_val_00035615.JPEG,500,161.81217181567976,174.68015855497907,156.656541161959,171.5336711788746,65.80257476030522,456.0,44.0,12.0,5.0,2.0,1.0,2.0,14306,7217,5649,3312,4601,6947,3592,361.4870064124198,1.3663208300079808,1041069,1940,55,37,325115,671175,105745
ILSVRC2012_val_00010791.JPEG,465,136.51394594594595,161.18879568957595,136.51394594594595,161.18879568957595,85.70747002521544,12.0,3.0,2.0,1.0,0.0,0.0,1.0,1351,945,501,430,525,1084,772,99.67990373044525,0.666,166500,0,0,0,0,0,0
ILSVRC2012_val_00038277.JPEG,434,140.492192,154.06699280507814,142.27320030400006,156.27836154275437,63.234343983591195,3.0,6.0,0.0,1.0,1.0,0.0,1.0,1241,1158,1307,1462,1431,1244,930,106.8877434135166,1.3333333333333333,17237,18167,20703,104024,17660,3100,6609
ILSVRC2012_val_00038520.JPEG,498,123.47915733333333,131.62290734772068,117.96535306666667,126.30577211104323,45.57946295116453,52.0,32.0,10.0,2.0,1.0,1.0,1.0,3440,3222,2382,2182,2292,3166,2565,106.8877434135166,0.75,104202,3671,541,1897,19644,6844,50701
ILSVRC2012_val_00013460.JPEG,500,105.72343925233645,115.3202188220213,104.37660774299067,114.62030459028719,46.05765150131304,26.0,2.0,4.0,0.0,1.0,1.0,3.0,4279,1180,976,1843,1386,1917,1038,114.73579835211551,0.856,27668,125405,5999,6713,47325,322,568
ILSVRC2012_val_00007559.JPEG,500,86.00370658682635,120.40906000189074,84.61126009580839,118.95007153138904,84.2716095957945,92.0,14.0,4.0,1.0,1.0,1.0,5.0,6882,4241,3315,5027,3276,3898,4016,82.0470229701896,0.668,83993,28635,9730,11614,20475,4448,8105
ILSVRC2012_val_00029227.JPEG,500,100.44539152119701,109.09019455766145,93.92760205985039,102.69152668694092,42.56047310336051,24.0,22.0,18.0,7.0,5.0,1.0,2.0,1739,1802,1461,1421,1585,2002,1642,111.01223581757509,0.802,15812,94825,88439,301,294,259,570
ILSVRC2012_val_00034913.JPEG,381,44.67588038277512,63.34664724911137,43.29919254066985,60.624589650368634,44.90950266622108,61.0,6.0,4.0,2.0,0.0,1.0,2.0,3931,2716,1956,2128,1916,2628,2471,91.8410438301439,0.836,13712,3673,139919,11210,10354,985,29147
ILSVRC2012_val_00009058.JPEG,500,61.54648048048048,86.22514139744283,53.24429266066067,76.20681540205591,60.388788276259056,115.0,42.0,17.0,3.0,3.0,1.0,1.0,2150,2649,2273,2165,2407,3624,2369,99.67990373044525,1.5015015015015014,100362,33164,1010,425,4242,4672,22625
ILSVRC2012_val_00008242.JPEG,500,179.87332066508313,193.02319969359252,176.18668986698341,189.25866754465508,70.02531065885157,84.0,16.0,0.0,1.0,1.0,2.0,1.0,3325,943,845,1194,833,869,1010,114.02611534276387,0.842,177579,15842,9419,3935,2102,348,1275
