filename,n_keypoints,avg_brightness,brightness_rms,avg_perc_brightness,perc_brightness_rms,contrast,edge_length1,edge_length2,edge_length3,edge_length4,edge_length5,edge_length6,edge_length7,edge_angle1,edge_angle2,edge_angle3,edge_angle4,edge_angle5,edge_angle6,edge_angle7,area_by_perim,aspect_ratio,hue1,hue2,hue3,hue4,hue5,hue6,hue7
ILSVRC2012_val_00008661.JPEG,100,151.90153301886792,10.210077568866172,0.603600664335923,0.6318622849631235,48.06162070136946,0,0,0,0,0,0,1,626,691,577,557,616,737,527,72.22641509433963,1.2075471698113207,30647,14550,5010,16631,12082,2155,3725
ILSVRC2012_val_00019211.JPEG,100,102.53616066481995,10.17988538648616,0.3430277912812992,0.4066412182354431,59.73324705061365,0,0,0,1,0,0,0,8413,8671,7931,8309,8144,8810,7900,104.0351834286314,1.3850415512465375,163059,6366,1778,537,1722,995,6043
ILSVRC2012_val_00035713.JPEG,100,136.69664589235128,10.342005438368911,0.5360645485619063,0.6012917468852371,68.77995268462706,0,0,0,0,0,0,1,1127,541,290,266,310,770,270,85.52477009856526,0.706,32133,61111,15743,39066,15629,4592,8226
ILSVRC2012_val_00043508.JPEG,100,117.92329275362319,8.614457682258372,0.4544165536050014,0.5751953960682447,90.29576243157705,0,0,0,0,0,0,1,5305,3719,3359,3761,3359,3588,3037,101.81257413997628,1.4492753623188406,106430,58284,3516,1258,1704,531,777
ILSVRC2012_val_00043232.JPEG,100,175.4236072234763,9.355605506957092,0.6816651372655248,0.7363409928348086,70.75682070697529,0,0,0,0,0,0,1,6092,6655,5652,6623,5747,6509,5231,117.19341126461211,0.886,110656,29095,16404,4868,29689,8841,21947
ILSVRC2012_val_00012051.JPEG,100,149.6314865671642,10.535741585017576,0.5560289212595844,0.6151315745214452,63.90460685235687,1,0,0,0,0,0,0,4653,4108,4039,5101,4087,4064,3594,100.03961584633853,1.492537313432836,58562,49148,117,202,36689,8403,14379
ILSVRC2012_val_00035615.JPEG,100,161.81217181567976,10.609149493862404,0.6125711605875053,0.6702147154540592,65.80257476030522,0,0,0,0,0,0,1,14306,7217,5649,3312,4601,6947,3592,361.4870064124198,1.3663208300079808,1041069,1940,55,37,325115,671175,105745
ILSVRC2012_val_00010791.JPEG,96,136.51394594594595,10.808587954657796,0.5353488076311608,0.6321129242728468,85.70747002521544,0,0,0,0,0,0,1,1351,945,501,430,525,1084,772,99.67990373044525,0.666,166500,0,0,0,0,0,0
ILSVRC2012_val_00038277.JPEG,100,140.492192,10.53644949686563,0.5589428865777777,0.6137870205885284,63.234343983591195,0,0,0,0,0,0,1,1241,1158,1307,1462,1431,1244,930,106.8877434135166,1.3333333333333333,17237,18167,20703,104024,17660,3100,6609
ILSVRC2012_val_00038520.JPEG,100,123.47915733333333,10.03055811009537,0.4623577183037908,0.4944240905031304,45.57946295116453,0,0,0,0,0,0,1,3440,3222,2382,2182,2292,3166,2565,106.8877434135166,0.75,104202,3671,541,1897,19644,6844,50701
ILSVRC2012_val_00013460.JPEG,100,105.72343925233645,10.489633957424237,0.41243724160527756,0.4512042034810694,46.05765150131304,0,0,0,0,0,0,1,4279,1180,976,1843,1386,1917,1038,114.73579835211551,0.856,27668,125405,5999,6713,47325,322,568
ILSVRC2012_val_00007559.JPEG,100,86.00370658682635,9.507467282706607,0.33302724885523066,0.46778469399922257,84.2716095957945,0,0,0,0,0,0,1,6882,4241,3315,5027,3276,3898,4016,82.0470229701896,0.668,83993,28635,9730,11614,20475,4448,8105
ILSVRC2012_val_00029227.JPEG,100,100.44539152119701,10.164256231429558,0.4082762266021221,0.44324987425077045,42.56047310336051,0,0,0,0,0,0,1,1739,1802,1461,1421,1585,2002,1642,111.01223581757509,0.802,15812,94825,88439,301,294,259,570
ILSVRC2012_val_00034913.JPEG,100,44.67588038277512,10.014352140993832,0.16729391823998505,0.22943616799378447,44.90950266622108,1,0,0,0,0,0,0,3931,2716,1956,2128,1916,2628,2471,91.8410438301439,0.836,13712,3673,139919,11210,10354,985,29147
ILSVRC2012_val_00009058.JPEG,100,61.54648048048048,9.747335048131902,0.21692082160042397,0.3093164408239465,60.388788276259056,0,0,0,0,0,0,1,2150,2649,2273,2165,2407,3624,2369,99.67990373044525,1.5015015015015014,100362,33164,1010,425,4242,4672,22625
ILSVRC2012_val_00008242.JPEG,100,179.87332066508313,10.770857575960013,0.6939894887299146,0.7452363270177376,70.02531065885157,0,0,0,0,0,0,1,3325,943,845,1194,833,869,1010,114.02611534276387,0.842,177579,15842,9419,3935,2102,348,1275
ILSVRC2012_val_00014179.JPEG,100,80.63727528089888,10.45092087765529,0.2688256120290813,0.3520649845449988,54.23282960700693,0,0,0,0,0,0,1,2377,2081,1679,1793,1553,2010,1865,103.71487119437938,1.404494382022472,16107,5846,2819,15440,15460,1368,120960
ILSVRC2012_val_00038602.JPEG,100,98.404944,10.464363143545812,0.349114859503268,0.3783898339038328,38.158635532343105,0,0,0,0,0,0,1,1206,1161,763,635,1078,1641,577,106.8877434135166,1.3333333333333333,154026,17920,46,71,10222,2789,2426
ILSVRC2012_val_00028161.JPEG,100,141.15118489583332,10.787060632226618,0.5568076912913601,0.6092202959837462,59.92971866766608,0,0,0,0,0,0,1,1091,508,261,232,437,627,198,136.88774597495527,1.3333333333333333,103513,19695,19842,161358,1548,217,1027
ILSVRC2012_val_00033658.JPEG,100,115.43808364868164,10.128727670182247,0.42222638981289345,0.4641419912099145,49.68045672331012,0,0,0,0,0,0,1,30524,30574,25856,27555,28253,33229,29321,218.2235164034714,1.3333333333333333,696972,82578,1333,732,2101,471,2245
ILSVRC2012_val_00031979.JPEG,100,84.22478078078078,9.381034474289486,0.3200863236436437,0.4437982301921418,77.79473836606455,0,0,0,0,0,0,1,4901,3523,3701,4168,3661,3495,3129,90.03492533889046,1.5015015015015014,51130,73511,12595,17105,6810,2435,2914
ILSVRC2012_val_00023684.JPEG,100,119.588928,10.590834276234647,0.4670050401087582,0.5258079787544361,61.81898281119495,0,0,0,0,0,0,1,2804,1167,953,1257,905,1094,1300,106.8877434135166,1.3333333333333333,35331,29636,17413,18046,33687,25872,27515
ILSVRC2012_val_00040353.JPEG,100,114.22770588235294,10.660714276117025,0.4388899480926916,0.49486055439465615,56.41141979884021,0,0,0,0,0,0,1,3725,3853,2977,4203,2949,3433,3065,106.72419724770643,1.3368983957219251,65304,30558,6437,19565,21300,4245,39591
ILSVRC2012_val_00042634.JPEG,100,70.31551489361702,10.048131120118418,0.27110728054846345,0.34060603498475767,52.094736771463545,0,0,0,0,0,1,0,9270,7547,4549,4324,4852,7298,5174,93.41713319480722,1.4184397163120568,302139,29448,132722,93213,38684,11634,97160
ILSVRC2012_val_00029905.JPEG,100,116.55528,10.276055014774233,0.4478856485500653,0.47734152775682887,42.78812009722948,0,0,0,0,0,0,1,4827,4992,4431,4454,4218,4548,3733,106.8877434135166,1.3333333333333333,68648,20548,8270,19383,41682,9133,19836
ILSVRC2012_val_00031572.JPEG,100,119.43053134328358,10.7810425104412,0.45681939394322507,0.49275085866900925,46.55643730680806,0,0,0,0,0,0,1,2821,2847,2303,2519,2517,2852,2470,100.03961584633853,1.492537313432836,130856,11802,144,3,164,871,23660
ILSVRC2012_val_00036454.JPEG,100,105.12967105263158,10.400270956321872,0.35961963375473,0.41603491073776155,53.51954034346712,0,0,0,0,0,0,1,5003,4860,4129,5307,7434,8058,5062,118.99633123689728,1.0964912280701755,203541,6340,2663,1978,5822,623,7033
ILSVRC2012_val_00033981.JPEG,52,127.739952,10.25293323883463,0.5066473149720261,0.5392468295416737,44.72173874494404,0,0,0,0,0,0,1,1130,868,927,628,905,934,311,106.8877434135166,1.3333333333333333,69846,6146,1685,51440,50936,4091,3356
ILSVRC2012_val_00034374.JPEG,100,96.08832295735677,10.293875226924989,0.3829668101277071,0.43523968791963036,51.05211745315798,0,0,0,0,0,0,1,18301,10896,9079,16248,9050,10781,9451,219.07151688478092,1.3333333333333333,251887,15538,4051,3110,337836,91515,82495
ILSVRC2012_val_00043638.JPEG,100,103.73421866666666,10.571721777143653,0.43581398976,0.497334908304836,62.28382548957782,0,0,0,0,0,0,1,3558,3405,3184,3467,3172,3495,2591,106.50905325060609,1.3333333333333333,30146,21104,2977,5175,112433,3179,12486
ILSVRC2012_val_00032558.JPEG,100,98.028544,10.293171328604222,0.3760697831194772,0.41694243740304054,47.171266917196505,0,0,0,0,0,0,1,6003,5650,5182,5785,5510,5850,5257,106.78526482847879,1.3333333333333333,68134,81952,16925,7362,6826,2251,4050
ILSVRC2012_val_00048675.JPEG,100,77.10150447761194,9.294857509365219,0.30158313850043905,0.3773383723189152,57.110810133935736,0,0,0,0,0,0,1,4346,3805,3590,3453,3313,3369,2972,54.794298916472975,1.492537313432836,61224,32653,35802,12653,2065,3572,19531
ILSVRC2012_val_00005660.JPEG,100,100.717472,10.50238931545262,0.38735693144470584,0.43535094808254066,50.53515071639953,0,0,0,0,0,0,1,6096,5665,5584,6571,5788,5701,4999,106.8877434135166,1.3333333333333333,24656,139539,12142,4943,3833,631,1756
ILSVRC2012_val_00044588.JPEG,100,78.96855466666666,9.729866597235544,0.2969110219273202,0.41624205650910595,74.7917327551939,0,0,0,0,0,0,1,1424,1391,1081,831,979,1371,874,106.68126540938529,1.3333333333333333,62663,28858,43968,27857,21860,916,1378
ILSVRC2012_val_00040625.JPEG,100,104.553296,10.279512050676335,0.37693214982274514,0.43570880820985947,54.54668744787702,0,0,0,0,0,0,1,6477,6093,4953,4946,5164,7230,5439,124.75,1.0,210656,24543,2011,2185,3007,1423,6175
ILSVRC2012_val_00016137.JPEG,100,131.24275733333334,9.949979162457243,0.5313445297589542,0.560001643514961,46.102668927193854,0,0,0,0,0,0,1,5713,4692,4298,4861,5567,5983,4692,106.8877434135166,1.3333333333333333,57265,10192,4264,8556,83409,7419,16395
ILSVRC2012_val_00037092.JPEG,100,141.85445045045046,10.271197081620501,0.5388917070552905,0.5722524972464689,50.088303811289016,0,0,0,0,0,0,1,6547,6611,5872,6571,5732,6401,5711,99.67990373044525,0.666,86083,47605,4426,8892,15102,1417,2975
ILSVRC2012_val_00046036.JPEG,37,128.09678819444446,9.892839459399129,0.48777929168368733,0.5678901948548484,75.41826343910616,0,0,0,0,0,0,1,596,143,113,207,113,120,270,23.75,1.0,4356,3322,1240,139,65,35,59
ILSVRC2012_val_00041783.JPEG,100,125.66476876876877,9.825290648949593,0.4505664919955248,0.5462167557579876,80.09269392411275,0,0,0,0,0,0,1,6034,5947,6043,7938,4505,5183,4400,88.07570692839049,1.5015015015015014,128903,21192,1591,3450,3369,1484,6511
